query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
data science with python,5,-50%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science and management,17,-70%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science unipd,13,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
unito,10,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
r for data science,9,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
indeed,8,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
google scholar,6,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
ecampus,5,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
best colleges for computer science,5,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science unitn,2,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
genomic data science,2,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science unina,1,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
python data analysis,1,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
almalaurea,1,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
python data science handbook,1,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
